n_estimators,min_samples_split,max_features,accuracy,f1,roc_auc,pr_auc,matthews
100,2,4,0.975261297841943,0.9058655221745351,0.9927031519602577,0.9610811565439192,0.8917542801226118
200,2,4,0.9748101361004586,0.9043130534133105,0.9930528029413119,0.9621542640099746,0.8899698555793507
300,2,4,0.9748853297240394,0.9046259280411194,0.9929800436345162,0.9621235596979878,0.890331064508831
100,3,4,0.975787653207008,0.9076834862385321,0.9923224509889195,0.959654393801974,0.8938468833928728
200,3,4,0.9748853297240394,0.9043528064146621,0.9927734784325966,0.9618529436594497,0.8900122472540641
300,3,4,0.975261297841943,0.9055954088952655,0.9928075130342242,0.961047676355927,0.8914449609825332
100,4,4,0.9731558763816829,0.8975021533161068,0.992288717356503,0.9588888805890865,0.8821330863363659
200,4,4,0.9746597488532972,0.9032443296009187,0.99243501347389,0.9591133097377234,0.8887409253008226
300,4,4,0.9746597488532972,0.9030773655450101,0.9925373179249136,0.9591582619995946,0.8885563431493235
100,5,4,0.9733062636288443,0.897841726618705,0.9920192245086853,0.9564340598297274,0.8825369180062662
200,5,4,0.9741333934882322,0.90097869890616,0.9923869336424087,0.958469612063443,0.8861473710950445
300,5,4,0.9739830062410707,0.9003456221198156,0.9923740170470967,0.9585038336253549,0.8854233129388326
100,6,4,0.9731558763816829,0.8972070256262598,0.9918122078529488,0.956904625166783,0.8818110951961474
200,6,4,0.9736822317467478,0.8993095512082854,0.9921579713150259,0.9578991022860939,0.8842235096774843
300,6,4,0.9741333934882322,0.9008645533141211,0.9922031166966984,0.9586176834703161,0.886024662237993
100,7,4,0.972328746522295,0.8939481268011528,0.9913581205556252,0.9550598358017586,0.8780703041921657
200,7,4,0.9727799082637792,0.8960367604824814,0.9916943533260157,0.9561230926628816,0.8804481733705245
300,7,4,0.9731558763816829,0.8970291318142486,0.9917509355377121,0.9564334673216254,0.88162173080835
100,8,4,0.9718775847808105,0.8920323325635104,0.9909927690140559,0.9544087170873571,0.8758855693796008
200,8,4,0.9721031656515527,0.8928055475296157,0.991348213652425,0.9549991493693558,0.8767850477482192
300,8,4,0.9728551018873599,0.895634576467187,0.9914671215715971,0.9552536026132693,0.8800444817013116
100,10,4,0.9721783592751335,0.8930017351069983,0.9908713530181243,0.9525563755571322,0.8770219043876852
200,10,4,0.9724039401458756,0.8937771345875543,0.990930643952721,0.9530506863270538,0.8779252697956812
300,10,4,0.9721031656515527,0.8925571966406024,0.9909139903230372,0.9530926165114263,0.8765318737838196
100,12,4,0.9702233250620348,0.8852838933951332,0.990105436537281,0.9498155749103508,0.8681782899637779
200,12,4,0.9702233250620348,0.8854829381145171,0.9902643482807685,0.9507278393035206,0.8683794394781357
300,12,4,0.9702233250620348,0.8854166666666666,0.9903546390441138,0.9505546366905162,0.8683120733442017
100,15,4,0.9692458079554854,0.8815522733854619,0.9891141944403562,0.9451436626483988,0.8638850833266878
200,15,4,0.9680427099781939,0.8767758770658162,0.9893672092238636,0.9460274927493117,0.8584177878686275
300,15,4,0.9684938717196782,0.8783744557329463,0.9893814049383229,0.9463050177681104,0.860277498448776
100,18,4,0.9668396120009023,0.871988388969521,0.9883878554107793,0.9416388805397887,0.8529412305315266
200,18,4,0.9668396120009023,0.871988388969521,0.98861819718038,0.94242369312095,0.8529412305315266
300,18,4,0.9669899992480637,0.872197962154294,0.988628179325883,0.9423262833954064,0.8532493333355375
100,22,4,0.9663132566358372,0.8695398951659872,0.9870559663283672,0.937264312407448,0.8502044807184913
200,22,4,0.9659372885179337,0.8677372262773723,0.9872346918782555,0.9373630249921161,0.8482064987515127
300,22,4,0.9655613204000301,0.8663943990665111,0.9873565844087716,0.9381923232975236,0.8466401061078288
100,27,4,0.9628543499511242,0.8558926487747958,0.9854382568184323,0.9315737724547167,0.83458448834919
200,27,4,0.963155124445447,0.8571428571428571,0.9858576574141709,0.9326709884440126,0.8360025781707888
300,27,4,0.9633807053161891,0.8583066627873145,0.9859857198135156,0.9328107575703807,0.8372823271285943
100,33,4,0.9622528009624783,0.8541545613015689,0.984322062337345,0.9263952731531839,0.8324757086590716
200,33,4,0.9621024137153169,0.8534031413612565,0.9844780145502563,0.9269041898554294,0.8316432298423504
300,33,4,0.9621024137153169,0.8535735037768739,0.9844842847421551,0.9268891180245306,0.8318082803161585
100,41,4,0.9584179261598617,0.8387284922717994,0.9817288614525357,0.9158960580969829,0.8148711921848418
200,41,4,0.9590946687720882,0.8415841584158416,0.9822655397175525,0.9177169424582563,0.8181042429297619
300,41,4,0.9587187006541845,0.8402676752982252,0.9822097099288839,0.9173594085962498,0.8165663819511508
100,51,4,0.9530039852620498,0.8192074052646804,0.9796453017652746,0.9068758655829352,0.7922069040553189
200,51,4,0.9536807278742763,0.8214492753623188,0.979982286958693,0.9082666990825401,0.7948395845625957
