n_estimators,min_samples_split,max_features,accuracy,f1,roc_auc,pr_auc,matthews
100,2,5,0.9997878209208572,0.9998553982463751,0.999999719855375,0.9999998920147573,0.9994570640077367
200,2,5,0.9997299538992728,0.9998159589851453,0.9999997034322831,0.999999890275665,0.999309007711364
300,2,5,0.9997395984028702,0.9998225330450043,0.9999996715381627,0.9999998785229979,0.9993336774532526
100,3,5,0.999710664892078,0.9998028054215363,0.9999996491646751,0.9999998721236645,0.9992597205140439
200,3,5,0.999710664892078,0.9998028106061602,0.9999996962918085,0.9999998897441102,0.9992596717600746
300,3,5,0.9996913758848832,0.9997896674115946,0.9999996748703843,0.9999998819775263,0.9992102943532674
100,4,5,0.9997492429064676,0.9998291115113115,0.9999996820108589,0.9999998845377072,0.9993583236396957
200,4,5,0.9997299538992728,0.9998159638237459,0.9999996472605486,0.9999998719235079,0.9993089758330138
300,4,5,0.9997203093956754,0.9998093898503382,0.9999996734422893,0.9999998814505386,0.9992843036965353
100,5,5,0.9996913758848832,0.9997896646465709,0.9999996148903966,0.9999998602228943,0.9992103162192836
200,5,5,0.9996913758848832,0.9997896646465709,0.9999996577332448,0.9999998757645003,0.9992103162192836
300,5,5,0.9996913758848832,0.9997896646465709,0.9999996310754726,0.9999998660854356,0.9992103162192836
100,6,5,0.999710664892078,0.9998028183825849,0.9999995887086559,0.9999998507188208,0.9992596168769324
200,6,5,0.9996913758848832,0.9997896701765456,0.9999996439283271,0.9999998707440906,0.9992102749203443
300,6,5,0.9996913758848832,0.9997896701765456,0.9999996363118206,0.9999998679748832,0.9992102749203443
100,7,5,0.9996431533668962,0.9997568045431541,0.9999994901701047,0.9999998149030662,0.9990868912120435
200,7,5,0.999662442374091,0.9997699472193192,0.9999995553864405,0.9999998385744135,0.9991362708173128
300,7,5,0.999710664892078,0.9998028131983699,0.9999995829962761,0.9999998486100127,0.9992596510323157
100,8,5,0.9997010203884806,0.9997962389656827,0.9999994692247122,0.9999998073104722,0.9992349830371089
200,8,5,0.999662442374091,0.9997699472193192,0.9999995068312124,0.9999998209578504,0.9991362708173128
300,8,5,0.9997010203884806,0.9997962389656827,0.9999995282526366,0.9999998287433374,0.9992349830371089
100,10,5,0.999662442374091,0.9997699411706708,0.9999995382493013,0.9999998324217946,0.9991363228290286
200,10,5,0.9997010203884806,0.9997962362870307,0.9999995677632634,0.9999998431079392,0.9992350055504601
300,10,5,0.9996913758848832,0.9997896674115946,0.9999995591946939,0.9999998399959806,0.9992102943532674
100,12,5,0.999614219856104,0.999737087720682,0.9999993387920408,0.9999997601034014,0.9990128436504303
200,12,5,0.9996817313812858,0.9997830930925009,0.9999994497074147,0.9999998002954485,0.9991856269272108
300,12,5,0.9997010203884806,0.9997962362870307,0.9999994330463069,0.9999997942313907,0.9992350055504601
100,15,5,0.999662442374091,0.9997699411706708,0.9999991750371535,0.9999997005796196,0.9991363228290286
200,15,5,0.9996720868776884,0.9997765186869816,0.9999992835723694,0.9999997400194527,0.9991609606784927
300,15,5,0.9996527978704937,0.9997633696166588,0.9999992645311033,0.9999997331154163,0.9991116317126439
100,18,5,0.999614219856104,0.9997370842644933,0.9999989474940256,0.9999996179030004,0.999012867637074
200,18,5,0.999614219856104,0.9997370808082136,0.9999991536157294,0.999999692801186,0.9990128940561198
300,18,5,0.9996335088632988,0.9997502300512686,0.9999991360025585,0.9999996864317561,0.9990622243161222
100,22,5,0.9995467083309222,0.9996910841631339,0.9999987337558157,0.9999995407480466,0.9988400538928885
200,22,5,0.999565997338117,0.9997042295178941,0.9999988194415125,0.9999995716849881,0.9988894134183361
300,22,5,0.999565997338117,0.9997042295178941,0.9999987218550245,0.9999995364335229,0.9988894134183361
100,27,5,0.9995370638273248,0.9996845011173918,0.9999983591189084,0.9999994052127992,0.9988154409208806
200,27,5,0.9995274193237275,0.9996779261070469,0.9999984195749279,0.9999994270154278,0.9987907780480264
300,27,5,0.99951777482013,0.9996713596508525,0.9999982686728954,0.9999993722283971,0.9987660545630379
100,33,5,0.9994116852805586,0.999599066679812,0.9999973337467383,0.999999034458418,0.9984945372147551
200,33,5,0.9993923962733638,0.9995859158817691,0.9999976888663479,0.9999991629135123,0.9984452111216435
300,33,5,0.9993923962733638,0.9995859104383433,0.9999976593523856,0.9999991520725248,0.9984452469848998
100,41,5,0.999324884748182,0.9995399216552304,0.9999969300719006,0.9999988882463435,0.9982723677811944
200,41,5,0.9993152402445846,0.9995333705760573,0.9999969405445969,0.9999988919773746,0.9982475861172566
300,41,5,0.9993152402445846,0.9995333460403426,0.9999969519693563,0.9999988963170223,0.9982477040309887
100,51,5,0.9990837721582471,0.9993756530997181,0.9999954424729998,0.9999983499750171,0.997655131739175
200,51,5,0.9990837721582471,0.9993756530997181,0.9999955238744117,0.999998380332076,0.997655131739175
300,51,5,0.9991127056690392,0.9993953653439188,0.9999953339377841,0.9999983118803972,0.9977291991544853
100,63,5,0.9989583936114809,0.9992902861198365,0.9999928404840106,0.9999974104729168,0.9973340050459572
200,63,5,0.99903554964026,0.9993428143319051,0.9999938192050795,0.999997764596047,0.9975316298836512
300,63,5,0.9990259051366626,0.9993362468373148,0.999993277005032,0.9999975687622802,0.9975069296254508
100,78,5,0.9986208359855718,0.999060403566524,0.9999878702375714,0.9999956203285576,0.9964696292293074
200,78,5,0.9988330150647147,0.9992048941720714,0.9999897619873415,0.9999963031762116,0.9970129704869608
300,78,5,0.9988233705611173,0.9991983177815744,0.9999893406993329,0.9999961517263375,0.996988291807931
100,97,5,0.9983025673668576,0.9988437787412955,0.9999846322703002,0.9999944466656187,0.995654449154629
200,97,5,0.998360434388442,0.9988831807013625,0.9999854624694947,0.9999947496082746,0.9958026595052885
300,97,5,0.9983990124028316,0.9989094014847908,0.999985659546597,0.9999948217054763,0.9959014902861678
100,121,5,0.9976178076114423,0.9983777642044148,0.9999740091480382,0.9999906311837838,0.9939002273477536
200,121,5,0.9977721196690006,0.9984827287237187,0.9999767344292243,0.9999916106661889,0.994295606364986
300,121,5,0.9978589202013772,0.9985418910753225,0.9999772647284806,0.9999917993026972,0.99451799665385
100,151,5,0.9968173138128581,0.9978337359521059,0.9999633093846809,0.9999867536136905,0.9918491160606607
200,151,5,0.9968751808344425,0.9978729550169376,0.9999653472761671,0.9999874931646875,0.9919972627823375
300,151,5,0.9967498022876763,0.9977875670459097,0.9999640077231089,0.9999870135068891,0.9916757187156013
100,188,5,0.9957660629207414,0.9971195170762114,0.9999476308063149,0.999981131177006,0.9891539590331335
200,188,5,0.9958528634531181,0.9971786257939216,0.9999493921234133,0.999981761944605,0.9893768628396385
300,188,5,0.9959782419998843,0.997263725663891,0.9999509720724538,0.9999823296763144,0.9896982534212974
