ccp_alpha,depth,nodes,accuracy,f1,roc_auc,pr_auc,matthews
1.0324017349286994e-06,42,9899,0.987639000016329,0.9748262445545542,0.983266493855367,0.9566681055152674,0.9666346256561492
1.2397667956995665e-06,42,9871,0.9876553289462942,0.9748586631193881,0.9777624948002169,0.9567671290081443,0.9666779682378238
0.0,42,9915,0.987639000016329,0.9748262445545542,0.9832414216032845,0.9565239098128311,0.9666346256561492
1.031924455385133e-06,42,9907,0.987639000016329,0.9748262445545542,0.9833120394053079,0.9566681055152674,0.9666346256561492
1.0332464077584911e-06,42,9891,0.987639000016329,0.9748262445545542,0.9786339386979018,0.9566681055152674,0.9666346256561492
1.3048438982893092e-06,42,9833,0.9876716578762593,0.9748927538159688,0.9770282351668383,0.9521567327398519,0.9667227773653686
1.3150508699249376e-06,42,9827,0.9876716578762593,0.9748927538159688,0.9770282351668383,0.9521567327398519,0.9667227773653686
1.320269325757973e-06,42,9815,0.9876716578762593,0.9748927538159688,0.9770276897111504,0.9521528682458439,0.9667227773653686
1.344070575533037e-06,42,9803,0.9876879868062246,0.9749251745926172,0.9771331022610337,0.952325468695747,0.9667661219254713
1.3463616049231494e-06,42,9797,0.9876879868062246,0.9749251745926172,0.9771456096031335,0.952399387599801,0.9667661219254713
1.3506591567856511e-06,42,9779,0.9877043157361898,0.9749575975256909,0.9772023715354061,0.9525234552125639,0.9668094703102234
1.3414178046602727e-06,42,9809,0.9876716578762593,0.9748927538159688,0.9770263044839747,0.952152790528142,0.9667227773653686
1.3637564576999316e-06,42,9755,0.9877043157361898,0.9749575975256909,0.9772389652795981,0.9525501658870619,0.9668094703102234
1.3620169724222586e-06,42,9761,0.9877043157361898,0.9749575975256909,0.97724194153913,0.9525712670429249,0.9668094703102234
1.3640320197241202e-06,42,9749,0.9877043157361898,0.9749575975256909,0.9772362236091878,0.9525500116219754,0.9668094703102234
1.358538001866901e-06,42,9773,0.9877043157361898,0.9749575975256909,0.9771996226690105,0.9525233003485305,0.9668094703102234
1.3683637430299966e-06,42,9743,0.9877043157361898,0.9749575975256909,0.9772452063576738,0.9525990172482008,0.9668094703102234
1.3686679455427927e-06,42,9737,0.9877043157361898,0.9749575975256909,0.9772406189170266,0.952566425985711,0.9668094703102234
1.3691153688659463e-06,42,9731,0.9877043157361898,0.9749575975256909,0.9772356839102881,0.9525661488018293,0.9668094703102234
1.3711430871255237e-06,42,9713,0.9877206446661551,0.9749900226154051,0.9773499539985124,0.9528415740710741,0.9668528225202617
1.3707143988106554e-06,42,9719,0.9877206446661551,0.9749900226154051,0.9773311854295781,0.9527375693026913,0.9668528225202617
1.369888880373785e-06,42,9725,0.9877206446661551,0.9749900226154051,0.9772905281124709,0.9526900107710782,0.9668528225202617
1.3721172095184587e-06,42,9701,0.9877206446661551,0.9749900226154051,0.9773343221595828,0.9527706236426299,0.9668528225202617
1.3714666086604472e-06,42,9707,0.9877206446661551,0.9749900226154051,0.9773442267137893,0.9528412534401373,0.9668528225202617
1.3721395192790997e-06,42,9695,0.9877206446661551,0.9749900226154051,0.9773262914399561,0.9527131996267062,0.9668528225202617
1.3724833668896444e-06,42,9671,0.9877206446661551,0.9749900226154051,0.9773426241678567,0.9527588445050506,0.9668528225202617
1.3722269947042847e-06,42,9683,0.9877206446661551,0.9749900226154051,0.9773123823199141,0.9527124244810744,0.9668528225202617
1.3725698497735086e-06,42,9665,0.9877206446661551,0.9749900226154051,0.9773353965201925,0.9527070467852548,0.9668528225202617
1.3737248547066936e-06,42,9653,0.9877369735961202,0.9750241112108816,0.9773612214723401,0.9525957660848777,0.9668976259765591
1.3722053861915207e-06,42,9689,0.9877206446661551,0.9749900226154051,0.9773194732438573,0.9527128190304044,0.9668528225202617
1.3739082078450616e-06,42,9647,0.9877369735961202,0.9750241112108816,0.977447298409645,0.9526897464848585,0.9668976259765591
1.3757747196184305e-06,42,9635,0.9877369735961202,0.9750241112108816,0.9774103570993615,0.9524220099845959,0.9668976259765591
1.3745624700795366e-06,42,9641,0.9877369735961202,0.9750241112108816,0.9774341815675878,0.9525949335628492,0.9668976259765591
1.3728720878658795e-06,42,9659,0.9877369735961202,0.9750241112108816,0.9773735352424345,0.9526844598327755,0.9668976259765591
1.3761295937400115e-06,42,9611,0.9877369735961202,0.9750241112108816,0.9773194653282733,0.9522174518928567,0.9668976259765591
1.3758691038743403e-06,42,9623,0.9877369735961202,0.9750241112108816,0.9773866448885064,0.9522181255090747,0.9668976259765591
1.3762994726170055e-06,42,9599,0.9877369735961202,0.9750241112108816,0.9772995813816131,0.9522616144267699,0.9668976259765591
1.3773295099228567e-06,42,9581,0.9877533025260855,0.9750565385127046,0.9771841232362113,0.9515361170642977,0.966940980165546
1.376302884315086e-06,42,9593,0.9877369735961202,0.9750241112108816,0.9772655011950964,0.9520088374771218,0.9668976259765591
1.3771254275196832e-06,42,9587,0.9877369735961202,0.9750241112108816,0.9771917495414626,0.9514554485966743,0.9668976259765591
1.3776723399213627e-06,42,9551,0.9877533025260855,0.9750565385127046,0.9766119510135661,0.9504827325232286,0.966940980165546
1.3776723399213623e-06,42,9553,0.9877533025260855,0.9750565385127046,0.9766119510135661,0.9504827325232286,0.966940980165546
1.5498813824115329e-06,42,9547,0.9877533025260855,0.9750565385127046,0.9766119510135661,0.9504827325232286,0.966940980165546
1.6380397729707227e-06,42,9527,0.9877696314560507,0.9750889679715302,0.9767652255010673,0.9507098100136497,0.9669843381807162
1.377625061773141e-06,42,9557,0.9877533025260855,0.9750565385127046,0.9766119510135661,0.9504827325232286,0.966940980165546
1.3773820591925155e-06,42,9575,0.9877533025260855,0.9750565385127046,0.9770549445055831,0.9504827325232286,0.966940980165546
1.6357521357256347e-06,42,9537,0.9877696314560507,0.9750889679715302,0.9766718640678141,0.9506144414424353,0.9669843381807162
1.6475201014411022e-06,42,9517,0.9877533025260855,0.9750565385127046,0.9767467008760355,0.9505654666875514,0.966940980165546
1.6480356133446455e-06,42,9507,0.9877533025260855,0.9750565385127046,0.9767449342616373,0.9505627645371475,0.966940980165546
1.6532068079056346e-06,42,9499,0.9877533025260855,0.9750565385127046,0.9767446485810198,0.9505626954998871,0.966940980165546
1.6536192401348115e-06,42,9489,0.9877533025260855,0.9750565385127046,0.9767418140823989,0.9505607584318897,0.966940980165546
1.7220904249017032e-06,42,9449,0.9877369735961202,0.975022449861975,0.9766808007619939,0.9505899190818121,0.9668961785562233
1.721387347862753e-06,42,9465,0.9877533025260855,0.9750565385127046,0.9766810785270276,0.9505920944766721,0.966940980165546
1.7712930084703234e-06,42,9421,0.9877369735961202,0.975022449861975,0.9768363031265528,0.9510241988206316,0.9668961785562233
1.8081949461467883e-06,42,9409,0.9877206446661551,0.9749883589436573,0.9768354619158679,0.9510197984882238,0.9668513768147835
1.8291864995947743e-06,42,9391,0.9877206446661551,0.9749883589436573,0.9768047249841348,0.9510161054078411,0.9668513768147835
