n_estimators,min_samples_split,max_features,criterion,accuracy,f1,roc_auc,pr_auc,matthews
50,7,1,gini,0.9549590194751485,0.8256186317321689,0.9795388589875977,0.9058970122273682,0.7997622471806736
100,7,1,gini,0.9576659899240545,0.8355243938066024,0.9814862050260453,0.9139927586843919,0.8112521334607381
150,7,1,gini,0.9585683134070231,0.8390300905638329,0.9819598553220938,0.9163992763469049,0.8152757069426158
200,7,1,gini,0.9581171516655388,0.8376566598659283,0.9819349752006387,0.916108104647429,0.8136219349538225
300,7,1,gini,0.9581923452891195,0.8382780686445608,0.9822390544269712,0.91661549216971,0.8142728796582841
50,4,1,gini,0.9535303406271148,0.8236301369863014,0.9789173826473392,0.9024952063908946,0.7970339732906504
100,4,1,gini,0.9564628919467629,0.8338593974175036,0.9816266071630472,0.9126192338131746,0.808886682389599
150,4,1,gini,0.9561621174524401,0.8324231100891061,0.9817730537650395,0.9139605688266702,0.8072627648085438
200,4,1,gini,0.9567636664410858,0.834054834054834,0.9820808198642086,0.9156785603673664,0.8092192651562736
300,4,1,gini,0.9576659899240545,0.8376117680992212,0.9824702991042052,0.9171962612570163,0.8132970324130079
50,5,1,gini,0.9521768554026618,0.8167146974063401,0.9784966276901508,0.9025051177675388,0.7892466393470943
100,5,1,gini,0.9557109557109557,0.8303082685105158,0.9809296126315575,0.9114778901783518,0.8048741821378668
150,5,1,gini,0.9574404090533123,0.835369400814427,0.9822815914088137,0.9163676184071415,0.8109324276998099
200,5,1,gini,0.9577411835476352,0.836912362159025,0.9823360417552645,0.9171925998164221,0.8126381914479116
300,5,1,gini,0.9579667644183774,0.8377358490566038,0.9824776477691108,0.9179006682762811,0.8135921571571888
50,6,1,gini,0.9515001127904353,0.8132059079061685,0.9790694473412731,0.903617755886517,0.7853418583823953
100,6,1,gini,0.9557109557109557,0.8299162575801329,0.9805014588479279,0.9099360103542141,0.8044738823730861
150,6,1,gini,0.956688472817505,0.832849680789321,0.9812958670807602,0.9129235348468699,0.807970809896678
200,6,1,gini,0.9572900218061509,0.8347876672484003,0.981737338751983,0.914643749470083,0.810264337308115
300,6,1,gini,0.9581923452891195,0.8383720930232558,0.9823138452759421,0.9170652471925337,0.8143638747823286
50,3,1,gini,0.9506729829310474,0.8135304150085275,0.979477712076199,0.9044721200698306,0.7853527780077458
100,3,1,gini,0.9545830513572449,0.8276255707762558,0.9818870709345304,0.9135626479578317,0.8016363154454601
150,3,1,gini,0.9544326641100834,0.8271534512264689,0.9819835566474718,0.9138186495264646,0.8010862322044985
200,3,1,gini,0.9553349875930521,0.8303826384922901,0.9823937776822701,0.9157041314249235,0.804818415968295
300,3,1,gini,0.9560117302052786,0.833095577746077,0.9825050861288608,0.9161073829071483,0.8079343825016918
50,10,1,gini,0.9525528235205655,0.8153350892595844,0.9772616005321939,0.8969605243826557,0.7881488636904118
100,10,1,gini,0.9557109557109557,0.826917425800764,0.9793416238312238,0.9056860266407901,0.8016047530803938
150,10,1,gini,0.9563125046996015,0.8291678917965304,0.9799775717743849,0.9084147093101204,0.8042106487275573
200,10,1,gini,0.9565380855703436,0.8300999412110524,0.9802538615102213,0.9095845427994992,0.8052668956349289
300,10,1,gini,0.9572900218061509,0.8322504430005907,0.9805318567382542,0.9107010976179629,0.8079442045374624
50,2,1,gini,0.9517256936611775,0.820067264573991,0.9803451555042704,0.9015893751634224,0.7928681460825151
100,2,1,gini,0.9546582449808256,0.8299012693935119,0.9822740671785349,0.9131713102899346,0.8042031558771133
