n_estimators,min_samples_split,max_features,criterion,accuracy,f1,roc_auc,pr_auc,matthews
50,10,1,gini,0.9786907463953887,0.9552913768885539,0.9977075094703701,0.9938403765383891,0.9420732069014254
100,10,1,gini,0.9806175601312846,0.9594479177342763,0.9981005347598632,0.9948118039786673,0.9473476650130641
150,10,1,gini,0.9806828758511454,0.9595873330372698,0.998174129541017,0.9949824103063578,0.9475265967884064
200,10,1,gini,0.9808788230107282,0.9599890661837565,0.9981794185902334,0.9949918269061049,0.9480677329096359
300,10,1,gini,0.9806175601312846,0.9594340589863641,0.9981780369610503,0.9949804209241033,0.9473512944530247
50,9,1,gini,0.9791806142943453,0.9564177063749786,0.997716582888271,0.9938925348536775,0.94339988416061
100,9,1,gini,0.980356297251841,0.9589097243570038,0.9980915757581289,0.9948240895347795,0.9466271192895207
150,9,1,gini,0.9811727437501021,0.960641747738522,0.9982260557711486,0.9951380151486665,0.9488658349319237
200,9,1,gini,0.9811074280302412,0.960491719310227,0.9982396993593319,0.9951880283734286,0.9486897766526244
300,9,1,gini,0.9812543883999282,0.9608030592734226,0.9982788095395935,0.995269107808325,0.9490927393782319
50,8,1,gini,0.9795071928936496,0.9571247992893991,0.997826931164491,0.9941633020533864,0.9442937436554559
100,8,1,gini,0.9807645205009716,0.9597979660091461,0.9981610810608204,0.9949775845799227,0.9477415737236013
150,8,1,gini,0.9811890726800673,0.9607335196673257,0.9982793103801724,0.9952597715414808,0.9488977999365199
200,8,1,gini,0.9811727437501021,0.9606954150332367,0.9982594321903002,0.9952124924490791,0.9488537412725584
300,8,1,gini,0.9814829934194412,0.9613444232342514,0.998295940302267,0.9953015806619698,0.9497054285845818
50,6,1,gini,0.9806665469211803,0.9596262702039147,0.9980150111938301,0.9945915441288328,0.9474658242946784
100,6,1,gini,0.9819891902483631,0.9624254811786749,0.9982907771827936,0.9953012233264049,0.9510898242818616
150,6,1,gini,0.9821198216880848,0.9627208661015219,0.9983665516279033,0.9954651815989755,0.9514435501468848
200,6,1,gini,0.9822667820577717,0.9630411108086033,0.998368713301896,0.9954805447231243,0.9518440041066498
300,6,1,gini,0.982430071357424,0.963371459694989,0.9984109249518341,0.9955776966765276,0.9522939309736209
50,7,1,gini,0.9803236393919107,0.9588891542424346,0.9979053558909973,0.9941805758339592,0.946527545065375
100,7,1,gini,0.9817769141588152,0.9619709670823963,0.9982081636732274,0.9950657038594237,0.9505096289362001
150,7,1,gini,0.9823157688476674,0.9631218714884053,0.9982904001131624,0.9952875805450825,0.9519827546418158
200,7,1,gini,0.9822177952678761,0.9628973459166639,0.9982898193971462,0.9952785484539157,0.951718471942036
300,7,1,gini,0.9822994399177022,0.9630563697089496,0.9983092629495045,0.9953478020988884,0.951945420532092
50,5,1,gini,0.9814176776995803,0.9612345006131625,0.998002377921987,0.994593189896162,0.9495209310427383
100,5,1,gini,0.9826096895870413,0.9637792062034486,0.9983281027586935,0.9954411641320269,0.9527799391916377
150,5,1,gini,0.9827566499567283,0.9640767451353925,0.998386457882118,0.9955519231853261,0.9531845176091531
200,5,1,gini,0.9828546235365196,0.9642905727111958,0.9984267532411633,0.9956477026512442,0.9534512009478714
300,5,1,gini,0.9832138599957545,0.9650363920821713,0.9984771272972597,0.9957875820149629,0.9544365701280118
50,4,1,gini,0.9818422298786761,0.9622025832766825,0.9981176719989234,0.9948991489460777,0.9506732615509997
100,4,1,gini,0.9830342417661371,0.9647018855104468,0.9983925420877136,0.995578138298849,0.9539368489500233
