Epoch 1
Batch 0: 0.740476131439209
Batch 100: 0.48479050397872925
Batch 200: 0.4220973551273346
Batch 300: 0.3562290072441101
Batch 400: 0.3839232325553894
Batch 500: 0.382180780172348
Batch 600: 0.3171733021736145
Batch 700: 0.43352416157722473
Batch 800: 0.3360450565814972
Batch 900: 0.39562612771987915
Batch 1000: 0.3160049021244049
Batch 1100: 0.22919070720672607
Batch 1200: 0.4052002727985382
Batch 1300: 0.310672402381897
Batch 1400: 0.3783358037471771
Batch 1500: 0.22483332455158234
Batch 1600: 0.40157297253608704
Batch 1700: 0.25167787075042725
Batch 1800: 0.4289218783378601
Batch 1900: 0.4084521532058716
Batch 2000: 0.24377934634685516
Batch 2100: 0.3032447397708893
Batch 2200: 0.2527116537094116
Batch 2300: 0.29874247312545776
Batch 2400: 0.28312838077545166
Batch 2500: 0.22319211065769196
Batch 2600: 0.3767584562301636
Batch 2700: 0.36089473962783813
Batch 2800: 0.3369283378124237
Batch 2900: 0.2624708116054535
Batch 3000: 0.2601355016231537
Batch 3100: 0.2756391167640686
Batch 3200: 0.28372272849082947
Batch 3300: 0.23427562415599823
Batch 3400: 0.24654169380664825
Batch 3500: 0.23576728999614716
Batch 3600: 0.20346452295780182
Batch 3700: 0.2422829270362854
Batch 3800: 0.3807644248008728
Batch 3900: 0.16887697577476501
Batch 4000: 0.3391219675540924
Batch 4100: 0.26104089617729187
Batch 4200: 0.31936901807785034
Batch 4300: 0.2814893424510956
Batch 4400: 0.3980944752693176
Batch 4500: 0.3147863745689392
Batch 4600: 0.2314298450946808
Batch 4700: 0.2016974836587906
Batch 4800: 0.32141995429992676
Batch 4900: 0.22119446098804474
Batch 5000: 0.3181891143321991
Batch 5100: 0.25358283519744873
Batch 5200: 0.3700140416622162
Batch 5300: 0.2719588279724121
Batch 5400: 0.3022245764732361
Batch 5500: 0.2578635513782501
Batch 5600: 0.24662259221076965
Batch 5700: 0.2790433168411255
Batch 5800: 0.27804967761039734
Batch 5900: 0.4449908435344696
Batch 6000: 0.3764747083187103
Batch 6100: 0.18465138971805573
Batch 6200: 0.3152015209197998
Batch 6300: 0.30667173862457275
Batch 6400: 0.24186594784259796
Batch 6500: 0.2573966383934021
Batch 6600: 0.3510831594467163
Batch 6700: 0.16889531910419464
Batch 6800: 0.3429962396621704
Batch 6900: 0.296047180891037
Batch 7000: 0.23942981660366058
Batch 7100: 0.3219117522239685
Batch 7200: 0.27309849858283997
Batch 7300: 0.35477036237716675
Batch 7400: 0.2542387545108795
Batch 7500: 0.2566373944282532
Batch 7600: 0.3079879879951477
Batch 7700: 0.1879606544971466
Batch 7800: 0.3196472227573395
Batch 7900: 0.3316055238246918
Batch 8000: 0.14341424405574799
Batch 8100: 0.2708060145378113
Batch 8200: 0.2086055427789688
Accuracy: 83.763, loss: 0.303
Epoch 2
Batch 0: 0.3572275638580322
Batch 100: 0.3103068768978119
Batch 200: 0.2271229326725006
Batch 300: 0.13288657367229462
Batch 400: 0.15903730690479279
Batch 500: 0.3606736660003662
Batch 600: 0.2221292108297348
Batch 700: 0.26214832067489624
Batch 800: 0.35871267318725586
Batch 900: 0.3721877336502075
Batch 1000: 0.2488326132297516
Batch 1100: 0.3034288287162781
Batch 1200: 0.2906189262866974
Batch 1300: 0.21161769330501556
Batch 1400: 0.21104560792446136
Batch 1500: 0.20150962471961975
Batch 1600: 0.26694053411483765
Batch 1700: 0.33164355158805847
Batch 1800: 0.30525723099708557
Batch 1900: 0.327549546957016
Batch 2000: 0.2859649956226349
Batch 2100: 0.20471090078353882
Batch 2200: 0.12704753875732422
Batch 2300: 0.34749481081962585
Batch 2400: 0.20768970251083374
Batch 2500: 0.19478851556777954
Batch 2600: 0.47765183448791504
Batch 2700: 0.4422057271003723
Batch 2800: 0.36074212193489075
